Name,Completeness,Contamination,Contig_Number,Contig_Names,Contig_Lengths,Contig_Depths,Avg_Depth,Coding_Density,Average_Gene_Length,Genome_Size,GC_Content,Total_Coding_Sequences,classification,closest_genome_reference,closest_placement_ani,closest_placement_af,classification_method,note,"other_related_references(genome_id,species_name,radius,ANI,AF)",warnings,Sample_Name,MAG_Identifier,class_tree_mapped
metabat2.11,100.0,0.94,2,"contig_1760, contig_1761","2685270, 3060186","85, 100",92,0.878,305.3416711981149,5745456,0.53,5517,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Phytobacter;s__Phytobacter diazotrophicus,GCA_004346725.1,97.44,0.891,taxonomic classification defined by topology and ANI,topological placement and ANI have congruent species assignments,"GCA_901456055.1, s__Phytobacter ursingii, 95.0, 91.61, 0.767; GCA_900112785.1, s__Phytobacter palmae, 95.0, 91.55, 0.821; GCA_002377245.1, s__Phytobacter sp002377245, 95.0, 83.65, 0.351; GCF_000321045.1, s__Phytobacter massiliensis, 95.0, 82.62, 0.303",,bc2114,metabat2.11,1.0
metabat2.9,99.97,1.06,4,"contig_1776, contig_22, contig_45, contig_889","995817, 1764923, 749819, 1180001","11, 13, 13, 12",12,0.904,329.2413392234364,4690560,0.66,4301,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__Novosphingobium sp002336885,GCF_001014975.1,97.68,0.777,taxonomic classification defined by topology and ANI,topological placement and ANI have congruent species assignments,"GCF_005145025.1, s__Novosphingobium sp005145025, 95.0, 93.91, 0.724; GCA_001725355.1, s__Novosphingobium sp001725355, 95.0, 93.86, 0.666; GCF_025938155.1, s__Novosphingobium sp025938155, 95.0, 81.22, 0.161",,bc2114,metabat2.9,4.0
semibin2_8,100.0,0.0,5,"contig_1934, contig_24, contig_748, contig_749, contig_821","401076, 440523, 1530646, 862138, 302076","9, 8, 9, 7, 8",8,0.876,339.5022980958634,3536459,0.57,3046,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio sp009712225,GCF_009712225.1,99.08,0.902,taxonomic classification defined by topology and ANI,topological placement and ANI have congruent species assignments,"GCA_009929215.1, s__Desulfovibrio sp009929215, 95.0, 89.44, 0.7; GCA_003251995.1, s__Desulfovibrio desulfuricans_B, 95.0, 86.5, 0.313; GCF_004801255.1, s__Desulfovibrio desulfuricans_C, 95.0, 86.28, 0.534; GCA_023419375.1, s__Desulfovibrio sp023419375, 95.0, 85.76, 0.444; GCF_024460775.1, s__Desulfovibrio desulfuricans_E, 95.0, 85.64, 0.47; GCF_000420465.1, s__Desulfovibrio desulfuricans, 95.0, 85.41, 0.464; GCF_019422935.1, s__Desulfovibrio sp019422935, 95.0, 85.23, 0.459; GCF_902477725.1, s__Desulfovibrio sp902477725, 95.0, 85.23, 0.455; GCF_022508225.1, s__Desulfovibrio sp022508225, 95.0, 85.16, 0.448",,bc2114,semibin2_8,8.0
semibin2_3,98.89,1.36,7,"contig_106, contig_107, contig_1380, contig_1595, contig_228, contig_307, contig_913","52230, 724102, 28682, 33841, 2237265, 151344, 331579","10, 10, 7, 10, 17, 10, 11",10,0.882,311.9422275163788,3559043,0.44,3358,d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__;s__,,,,taxonomic classification fully defined by topology,classification based on placement in class-level tree,,,bc2114,semibin2_3,2.0
semibin2_1,99.95,0.37,11,"contig_180, contig_1817, contig_182, contig_183, contig_1835, contig_1925, contig_1951, contig_1990, contig_243, contig_397, contig_473","96291, 587629, 1104913, 556859, 219585, 575451, 177997, 212329, 524029, 1156994, 240204","10, 9, 9, 10, 10, 8, 7, 9, 8, 8, 8",8,0.871,322.1181374542497,5452281,0.62,4918,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas testosteroni_B,GCF_000739375.1,98.97,0.909,taxonomic classification defined by topology and ANI,topological placement and ANI have congruent species assignments,"GCF_011752915.1, s__Comamonas sp011752915, 95.0, 95.18, 0.811; GCF_000241525.1, s__Comamonas testosteroni, 95.0, 92.5, 0.736; GCF_000761245.1, s__Comamonas testosteroni_C, 95.0, 92.48, 0.741; GCF_009360615.1, s__Comamonas sp009360615, 95.0, 92.27, 0.724; GCF_014076415.1, s__Comamonas testosteroni_F, 95.0, 92.24, 0.754; GCF_008326825.1, s__Comamonas testosteroni_H, 95.0, 92.13, 0.729; GCF_030505195.1, s__Comamonas testosteroni_G, 95.0, 92.08, 0.745; GCF_000964545.1, s__Comamonas thiooxydans, 95.0, 91.98, 0.741; GCA_019236485.1, s__Comamonas sp019236485, 95.0, 87.43, 0.421; GCF_030064165.1, s__Comamonas sp030064165, 95.0, 86.34, 0.447; GCA_008727115.1, s__Comamonas testosteroni_E, 95.0, 86.07, 0.48; GCA_031277805.1, s__Comamonas sp031277805, 95.0, 85.89, 0.441; GCF_012844455.2, s__Comamonas suwonensis, 95.0, 84.89, 0.447; GCF_002754475.1, s__Comamonas sp002754475, 95.0, 84.78, 0.469; GCA_003569915.1, s__Comamonas testosteroni_D, 95.0, 84.77, 0.389; GCF_019186805.1, s__Comamonas fluminis, 95.0, 84.31, 0.371; GCA_014637085.1, s__Comamonas phosphati, 95.0, 83.86, 0.305; GCF_900564145.1, s__Comamonas sp900564145, 95.0, 83.85, 0.343; GCF_001544075.1, s__Comamonas terrae, 95.0, 83.66, 0.302; GCF_019355935.1, s__Comamonas sp019355935, 95.0, 82.22, 0.289; GCF_001571325.1, s__Comamonas tsuruhatensis, 95.0, 81.47, 0.186; GCF_903815225.1, s__Comamonas tsuruhatensis_A, 95.0, 81.02, 0.152; GCA_031286585.1, s__Comamonas acidovorans_A, 95.33, 80.99, 0.167; GCF_001598795.1, s__Comamonas acidovorans, 95.43, 80.84, 0.164; GCA_031253795.1, s__Comamonas sp031253795, 95.0, 80.8, 0.162",,bc2114,semibin2_1,1.0
metabat2.21,100.0,0.25,13,"contig_1270, contig_151, contig_152, contig_1692, contig_1704, contig_1752, contig_1861, contig_427, contig_450, contig_552, contig_567, contig_686, contig_972","154474, 257717, 378108, 126557, 47709, 70605, 184252, 108539, 567288, 904040, 102619, 561271, 190816","8, 7, 8, 7, 5, 7, 8, 12, 8, 8, 8, 8, 8",7,0.9,326.1582541567696,3653995,0.66,3368,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas zeae,GCF_014197135.1,99.86,0.947,taxonomic classification defined by topology and ANI,topological placement and ANI have congruent species assignments,"GCF_019297835.1, s__Sphingomonas sanguinis_D, 95.0, 89.76, 0.702; GCF_000787715.1, s__Sphingomonas parapaucimobilis, 95.0, 89.54, 0.69; GCF_014199595.1, s__Sphingomonas yabuuchiae, 95.0, 89.46, 0.697; GCA_019112965.1, s__Sphingomonas excrementigallinarum, 95.0, 89.44, 0.671; GCF_001477495.1, s__Sphingomonas yabuuchiae_A, 95.0, 88.94, 0.673; GCF_001591005.1, s__Sphingomonas sanguinis, 95.0, 88.17, 0.591; GCF_030818415.1, s__Sphingomonas sp030818415, 95.0, 88.17, 0.587; GCF_001476905.1, s__Sphingomonas sanguinis_B, 95.0, 88.05, 0.562; GCA_913777475.1, s__Sphingomonas sp913777475, 95.0, 88.03, 0.612; GCF_913062585.1, s__Sphingomonas sp913062585, 95.0, 87.9, 0.574; GCF_030819175.1, s__Sphingomonas sp030819175, 95.0, 87.81, 0.567; GCF_014196255.1, s__Sphingomonas pseudosanguinis, 95.0, 87.62, 0.544; GCF_026540895.1, s__Sphingomonas sp026540895, 95.0, 87.6, 0.547; GCF_916858675.1, s__Sphingomonas sp916858675, 95.0, 87.42, 0.521; GCF_025371035.1, s__Sphingomonas sanguinis_E, 95.0, 87.05, 0.564; GCF_000739895.2, s__Sphingomonas paucimobilis, 95.0, 86.84, 0.515",,bc2114,metabat2.21,4.0
semibin2_4,99.98,0.02,18,"contig_1407, contig_149, contig_1573, contig_163, contig_1650, contig_1838, contig_1840, contig_1929, contig_1969, contig_1994, contig_259, contig_260, contig_34, contig_721, contig_805, contig_855, contig_939, contig_988","63623, 45700, 142364, 68753, 123499, 335785, 803024, 270775, 208817, 203383, 112676, 123659, 120905, 324561, 204123, 74915, 198287, 158970","10, 8, 9, 8, 8, 10, 8, 9, 7, 8, 10, 8, 9, 9, 9, 9, 8, 9",8,0.904,332.420405654579,3583819,0.65,3254,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azospira;s__Azospira oryzae,GCF_004217225.1,95.77,0.892,taxonomic classification defined by topology and ANI,topological placement and ANI have congruent species assignments,"GCF_003112695.1, s__Azospira sp003112695, 95.0, 87.93, 0.525",,bc2114,semibin2_4,1.0
semibin2_10,50.99,0.1,49,"contig_1127, contig_1178, contig_1196, contig_1248, contig_1309, contig_1469, contig_1505, contig_1627, contig_1645, contig_1653, contig_1674, contig_172, contig_1732, contig_1738, contig_1740, contig_1746, contig_1842, contig_1862, contig_1890, contig_19, contig_1955, contig_1964, contig_204, contig_254, contig_275, contig_287, contig_306, contig_344, contig_352, contig_377, contig_383, contig_39, contig_408, contig_455, contig_460, contig_462, contig_500, contig_555, contig_561, contig_582, contig_596, contig_681, contig_705, contig_710, contig_829, contig_842, contig_87, contig_94, contig_97","44918, 15259, 14260, 25406, 108976, 9318, 8863, 50946, 23336, 85617, 23474, 15348, 32628, 33643, 21454, 42624, 39374, 35775, 61808, 34729, 85725, 21266, 15751, 39517, 49473, 29278, 48174, 18216, 28118, 68436, 22413, 61733, 51874, 14477, 62080, 32493, 58099, 27055, 46459, 99279, 64471, 15341, 15019, 11939, 29821, 30604, 55163, 5138, 22984","5, 4, 4, 2, 4, 3, 3, 4, 3, 4, 2, 3, 4, 3, 4, 4, 4, 2, 4, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 4, 3, 5, 3, 3, 4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 5, 4, 3, 4",3,0.917,293.22399588053554,1858152,0.71,1942,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Pseudolysinimonas;s__,,86.14,0.41,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,"GCA_946481135.1, s__Pseudolysinimonas sp946481135, 95.0, 84.36, 0.378; GCF_014653215.1, s__Pseudolysinimonas yzui, 95.0, 82.76, 0.276",,bc2114,semibin2_10,5.0
complete.1,100.0,0.11,1,contig_102,2423452,146,146,0.86,292.1112043642468,2423452,0.35,2383,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis,GCF_029023865.1,97.79,0.828,taxonomic classification defined by topology and ANI,topological placement and ANI have congruent species assignments,"GCF_001591705.1, s__Lactococcus cremoris, 95.0, 87.92, 0.568; GCF_014905395.1, s__Lactococcus taiwanensis, 95.0, 86.03, 0.186",,bc2115,complete.1,6.0
complete.8,100.0,0.21,1,contig_1965,4934991,29,29,0.897,335.7179836512262,4934991,0.64,4404,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__,,83.98,0.272,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,"GCF_017163935.1, s__Novosphingobium terrae, 95.0, 82.54, 0.249; GCF_001598555.1, s__Novosphingobium rosa, 95.0, 82.45, 0.239",,bc2115,complete.8,4.0
