Sample_Name,MAG_Identifier,Contig,Start,Stop,ORF_ID,Best_Hit_ARO,Resistance Mechanism,AMR_Gene_Family,Antibiotic,Drug Class,Model_Type,Percent of Sequence,Identity_perc
bc2114,complete.47,contig_543_2413,2626585,2626947,,Klebsiella pneumoniae KpnE,antibiotic efflux,small multidrug resistance (SMR) antibiotic efflux pump,erythromycin; streptomycin; tetracycline; cefepime; ceftriaxone; rifampin; colistin A; colistin B; triclosan; benzalkonium chloride; chlorhexidine,macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics,Strict,100.00,87.5
bc2114,complete.47,contig_543_2414,2626934,2627263,,Klebsiella pneumoniae KpnF,antibiotic efflux,small multidrug resistance (SMR) antibiotic efflux pump,erythromycin; streptomycin; tetracycline; cefepime; ceftriaxone; rifampin; colistin A; colistin B; triclosan; benzalkonium chloride; chlorhexidine,macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics,Strict,100.00,91.74
bc2114,complete.47,contig_543_2466,2671318,2672193,,PLA-1,antibiotic inactivation,PLA beta-lactamase,5625,carbapenem; cephalosporin,Strict,100.00,99.31
bc2114,complete.47,contig_543_2545,2747043,2747423,,marA,antibiotic efflux; reduced permeability to antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams,tigecycline; tetracycline; rifampin; chloramphenicol; ampicillin; cefalotin; triclosan,fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,Strict,99.21,93.55
bc2114,complete.47,contig_543_3522,3759278,3760348,,OmpA,reduced permeability to antibiotic,General Bacterial Porin with reduced permeability to peptide antibiotics,polymyxin B; defensin,peptide antibiotic,Strict,95.19,96.07
bc2114,complete.47,contig_543_3633,3853112,3854860,,msbA,antibiotic efflux,ATP-binding cassette (ABC) antibiotic efflux pump,metronidazole,nitroimidazole antibiotic,Strict,100.00,92.27
bc2114,complete.47,contig_543_4145,4435494,4436687,,Shigella flexneri acrA,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tigecycline; ciprofloxacin; tetracycline; rifampin; chloramphenicol; ampicillin; cefalotin; triclosan,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,Strict,100.00,85.64
bc2114,complete.47,contig_543_4146,4436710,4439856,,acrB,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tigecycline; acriflavine; tetracycline; rifampin; chloramphenicol; ampicillin; cefalotin; triclosan,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,Strict,99.90,92.47
bc2114,complete.47,contig_543_4269,4566205,4567302,,vanG,antibiotic target alteration,glycopeptide resistance gene cluster; Van ligase,vancomycin,glycopeptide antibiotic,Strict,104.58,37.25
bc2114,complete.47,contig_543_4511,4832579,4833529,,leuO,antibiotic efflux,major facilitator superfamily (MFS) antibiotic efflux pump,acriflavine; puromycin,nucleoside antibiotic; disinfecting agents and antiseptics,Strict,100.64,76.8
bc2114,complete.47,contig_543_4536,4865174,4867543,,LptD,antibiotic efflux,ATP-binding cassette (ABC) antibiotic efflux pump,novobiocin; rifampin; imipenem; polymyxin B,carbapenem; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic,Strict,100.90,93.09
bc2114,complete.47,contig_543_4679,5011319,5011762,,fosA5,antibiotic inactivation,fosfomycin thiol transferase,ciprofloxacin; gentamicin,fluoroquinolone antibiotic; aminoglycoside antibiotic; phosphonic acid antibiotic,Strict,105.76,87.77
bc2114,complete.47,contig_543_78,90008,91399,,Escherichia coli UhpT with mutation conferring resistance to fosfomycin,antibiotic target alteration,antibiotic-resistant UhpT,fosfomycin,phosphonic acid antibiotic,Strict,100.00,96.27
bc2114,complete.47,contig_543_446,502019,503203,,Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin,antibiotic target alteration,elfamycin resistant EF-Tu,pulvomycin,elfamycin antibiotic,Strict,96.33,97.97
bc2114,complete.47,contig_543_4503,4824575,4826341,,Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics,antibiotic target alteration,Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics,ceftriaxone; ampicillin; cefaclor; cefotaxime; cefditoren; cefdinir,cephalosporin; penicillin beta-lactam,Strict,96.39,52.2
bc2114,complete.47,contig_543_5070,5456843,5458027,,Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin,antibiotic target alteration,elfamycin resistant EF-Tu,pulvomycin,elfamycin antibiotic,Strict,96.33,97.71
bc2114,complete.47,contig_543_1654,1798294,1799016,,baeR,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,neomycin; amikacin; kanamycin A; tobramycin; novobiocin; gentamicin,aminoglycoside antibiotic; aminocoumarin antibiotic,Strict,100.00,91.25
bc2114,complete.47,contig_543_2546,2747441,2747875,,Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline,antibiotic target alteration; antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tigecycline; ciprofloxacin; tetracycline; rifampin; chloramphenicol; ampicillin; cefalotin; triclosan,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,Strict,100.00,84.03
bc2114,metabat2.11,contig_1760_86,72433,72816,,marA,antibiotic efflux; reduced permeability to antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams,tigecycline; tetracycline; rifampin; chloramphenicol; ampicillin; cefalotin; triclosan,fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,Strict,100.00,92.13
bc2114,metabat2.11,contig_1760_661,699917,701092,,oqxA,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tigecycline; ciprofloxacin; nitrofurantoin; trimethoprim,fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic,Strict,100.00,90.79
bc2114,metabat2.11,contig_1760_662,701116,704268,,oqxB,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tigecycline; ciprofloxacin; nitrofurantoin; trimethoprim,fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic,Strict,100.00,96.95
bc2114,metabat2.11,contig_1760_1121,1134455,1136203,,msbA,antibiotic efflux,ATP-binding cassette (ABC) antibiotic efflux pump,metronidazole,nitroimidazole antibiotic,Strict,100.00,93.13
bc2114,metabat2.11,contig_1760_1558,1599448,1600431,,PmrF,antibiotic target alteration,pmr phosphoethanolamine transferase,polymyxin B,peptide antibiotic,Strict,101.55,83.59
bc2114,metabat2.11,contig_1760_1561,1603303,1604964,,ArnT,antibiotic target alteration,pmr phosphoethanolamine transferase,colistin A; colistin B,peptide antibiotic,Strict,100.36,64.55
bc2114,metabat2.11,contig_1760_1732,1763288,1764484,,Shigella flexneri acrA,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tigecycline; ciprofloxacin; tetracycline; rifampin; chloramphenicol; ampicillin; cefalotin; triclosan,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,Strict,100.25,84.17
bc2114,metabat2.11,contig_1760_1733,1764507,1767656,,acrB,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tigecycline; acriflavine; tetracycline; rifampin; chloramphenicol; ampicillin; cefalotin; triclosan,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,Strict,100.00,89.42
bc2114,metabat2.11,contig_1760_1838,1876384,1877484,,vanG,antibiotic target alteration,glycopeptide resistance gene cluster; Van ligase,vancomycin,glycopeptide antibiotic,Strict,104.87,39.61
bc2114,metabat2.11,contig_1760_2118,2187418,2188362,,leuO,antibiotic efflux,major facilitator superfamily (MFS) antibiotic efflux pump,acriflavine; puromycin,nucleoside antibiotic; disinfecting agents and antiseptics,Strict,100.00,80.57
bc2114,metabat2.11,contig_1760_2286,2375949,2376368,,fosA5,antibiotic inactivation,fosfomycin thiol transferase,ciprofloxacin; gentamicin,fluoroquinolone antibiotic; aminoglycoside antibiotic; phosphonic acid antibiotic,Strict,100.00,76.98
bc2114,metabat2.11,contig_1761_819,882075,882707,,CRP,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,erythromycin; cloxacillin; oxacillin; norfloxacin,macrolide antibiotic; fluoroquinolone antibiotic; penicillin beta-lactam,Strict,100.00,99.05
bc2114,metabat2.11,contig_1761_1607,1674654,1674839,,rsmA,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,trimethoprim; chloramphenicol,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,Strict,100.00,85.25
bc2114,metabat2.11,contig_1761_1619,1688045,1689583,,emrB,antibiotic efflux,major facilitator superfamily (MFS) antibiotic efflux pump,nalidixic acid,fluoroquinolone antibiotic,Strict,100.00,93.82
bc2114,metabat2.11,contig_1761_1621,1690899,1691429,,emrR,antibiotic efflux,major facilitator superfamily (MFS) antibiotic efflux pump,nalidixic acid,fluoroquinolone antibiotic,Strict,100.00,90.86
bc2114,metabat2.11,contig_1761_1897,1959491,1962604,,acrD,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,neomycin; amikacin; kanamycin A; tobramycin; gentamicin,aminoglycoside antibiotic,Strict,100.00,89.49
bc2114,metabat2.11,contig_1761_2221,2344015,2347092,,mdtC,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,novobiocin,aminocoumarin antibiotic,Strict,100.00,89.56
bc2114,metabat2.11,contig_1761_2222,2347093,2350215,,mdtB,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,novobiocin,aminocoumarin antibiotic,Strict,100.00,90.29
bc2114,metabat2.11,contig_1761_2895,3023362,3023724,,Klebsiella pneumoniae KpnE,antibiotic efflux,small multidrug resistance (SMR) antibiotic efflux pump,erythromycin; streptomycin; tetracycline; cefepime; ceftriaxone; rifampin; colistin A; colistin B; triclosan; benzalkonium chloride; chlorhexidine,macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics,Strict,100.00,82.5
bc2114,metabat2.11,contig_1761_2896,3023711,3024040,,Klebsiella pneumoniae KpnF,antibiotic efflux,small multidrug resistance (SMR) antibiotic efflux pump,erythromycin; streptomycin; tetracycline; cefepime; ceftriaxone; rifampin; colistin A; colistin B; triclosan; benzalkonium chloride; chlorhexidine,macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics,Strict,100.00,83.49
bc2114,metabat2.11,contig_1760_2111,2179471,2181240,,Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics,antibiotic target alteration,Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics,ceftriaxone; ampicillin; cefaclor; cefotaxime; cefditoren; cefdinir,cephalosporin; penicillin beta-lactam,Strict,96.56,53.01
bc2114,metabat2.11,contig_1761_130,121387,122571,,Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin,antibiotic target alteration,elfamycin resistant EF-Tu,pulvomycin,elfamycin antibiotic,Strict,96.33,97.46
bc2114,metabat2.11,contig_1761_850,909458,910642,,Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin,antibiotic target alteration,elfamycin resistant EF-Tu,pulvomycin,elfamycin antibiotic,Strict,96.33,97.21
bc2114,metabat2.11,contig_1761_2090,2198297,2199649,,Escherichia coli GlpT with mutation conferring resistance to fosfomycin,antibiotic target alteration,antibiotic-resistant GlpT,fosfomycin,phosphonic acid antibiotic,Strict,99.56,92.22
bc2114,metabat2.11,contig_1760_87,72835,73299,,Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline,antibiotic target alteration; antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tigecycline; ciprofloxacin; tetracycline; rifampin; chloramphenicol; ampicillin; cefalotin; triclosan,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,Strict,106.94,87.5
bc2114,metabat2.11,contig_1761_2218,2340406,2341128,,baeR,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,neomycin; amikacin; kanamycin A; tobramycin; novobiocin; gentamicin,aminoglycoside antibiotic; aminocoumarin antibiotic,Strict,100.00,94.17
bc2114,metabat2.21,contig_567_65,64838,68050,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,101.04,43.56
bc2114,metabat2.21,contig_686_133,135713,136495,,vanY gene in vanB cluster,antibiotic target alteration,vanY; glycopeptide resistance gene cluster,vancomycin,glycopeptide antibiotic,Strict,97.01,32.31
bc2114,metabat2.2,contig_41_216,237223,237555,,qacG,antibiotic efflux,small multidrug resistance (SMR) antibiotic efflux pump,benzalkonium chloride,disinfecting agents and antiseptics,Strict,102.80,45.37
bc2114,metabat2.2,contig_41_223,243697,244590,,CME-2,antibiotic inactivation,CME beta-lactamase,4463,penicillin beta-lactam,Strict,100.00,94.61
bc2114,metabat2.2,contig_41_708,761202,764324,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,98.21,41.69
bc2114,metabat2.2,contig_41_1157,1252944,1253648,,vanW gene in vanG cluster,antibiotic target alteration,vanW; glycopeptide resistance gene cluster,vancomycin,glycopeptide antibiotic,Strict,83.27,33.12
bc2114,metabat2.2,contig_41_1282,1370247,1373423,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,99.91,41.1
bc2114,metabat2.2,contig_41_1659,1776298,1778748,,vanT gene in vanG cluster,antibiotic target alteration,glycopeptide resistance gene cluster; vanT,vancomycin,glycopeptide antibiotic,Strict,114.61,33.86
bc2114,metabat2.2,contig_41_2496,2726316,2727188,,GOB-29,antibiotic inactivation,GOB beta-lactamase,4642,carbapenem; cephalosporin; penicillin beta-lactam,Perfect,100.00,100.0
bc2114,metabat2.2,contig_41_2778,3020565,3021311,,BlaB-34,antibiotic inactivation,BlaB beta-lactamase,4396,carbapenem; penicillin beta-lactam,Strict,99.60,100.0
bc2114,metabat2.9,contig_45_104,122675,125863,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,100.28,51.09
bc2114,semibin2,contig_1817_27,27339,27749,,FosA8,antibiotic inactivation,fosfomycin thiol transferase,fosfomycin,phosphonic acid antibiotic,Strict,96.45,57.35
bc2114,semibin2,contig_183_463,515912,519106,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,100.47,58.49
bc2114,semibin2,contig_1990_172,175196,178351,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,99.24,41.38
bc2114,semibin2,contig_397_811,913970,917200,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,101.61,70.98
bc2114,semibin2,contig_473_152,164552,164989,,qacJ,antibiotic efflux,small multidrug resistance (SMR) antibiotic efflux pump,benzalkonium chloride,disinfecting agents and antiseptics,Strict,135.51,50.0
bc2114,semibin2,contig_107_459,468173,468676,,nimJ,antibiotic inactivation,nitroimidazole reductase,metronidazole,nitroimidazole antibiotic,Strict,101.21,48.47
bc2114,semibin2,contig_228_1066,1168407,1169762,,vanW gene in vanI cluster,antibiotic target alteration,vanW; glycopeptide resistance gene cluster,vancomycin; teicoplanin,glycopeptide antibiotic,Strict,120.91,28.46
bc2114,semibin2,contig_228_1339,1489357,1490463,,vanT gene in vanG cluster,antibiotic target alteration,glycopeptide resistance gene cluster; vanT,vancomycin,glycopeptide antibiotic,Strict,51.69,36.07
